Name,Beer Name (Full),ABV
Ipswich Original Pale Ale,Ipswich Ale Brewery Ipswich Original Ale,"0,05"
WychCraft,Wychwood Brewery Company Ltd WychCraft,"0,05"
Kentucky Ale,Alltech’s Lexington Brewing and Distilling Co. Kentucky Ale,"0,06"
Chamberlain Pale Ale,Shipyard Brewing Co. Chamberlain Pale Ale,"0,05"
Over-The-Rhine Ale,Christian Moerlein Brewing Company Christian Moerlein Over-The-Rhine Ale,"0,06"
Very Bad Elf Special Reserve Ale,Ridgeway Brewing Very Bad Elf,"0,08"
English Bay Pale Ale,Granville Island Brewery English Bay Pale Ale,"0,05"
8th Street Pale Ale,Four Peaks Brewing Company 8th Street Ale,"0,05"
Whitbread Pale Ale,Whitbread PLC Whitbread Pale Ale,"0,06"
English Ale,St. Peter's Brewery Co Ltd St. Peter's English Ale,"0,05"
Unfiltered Double Barrel Ale,Firestone Walker Brewing Co. Unfiltered Double Barrel Ale,"0,05"
Angler's Ale,Arcadia Brewing Company Arcadia Angler's Ale,"0,05"
Golden Ale,St. Peter's Brewery Co Ltd St. Peter's Golden Ale,"0,05"
Country Pale Ale,Wachusett Brewing Company Wachusett Country Pale Ale,"0,05"
Dundee English-Style Ale,Genesee Brewing Co. / Dundee Brewing Co. Dundee English-Style Ale,"0,05"
Chupacabras Pale Ale,Cucapá Brewing Company Cucapá Chupacabras Pale Ale,"0,06"
Stone Mill Organic Pale AleGreen Valley Brewing Company (Crooked Creek),Green Valley Brewing Company (Crooked Creek) Stone Mill Organic Pale Ale,"0,06"
Pale Ale,Mayflower Brewing Company Mayflower Pale Ale,"0,05"
Heavy Seas - Pale Ale,Heavy Seas Beer Heavy Seas - Pale Ale,"0,05"
Mama's Little Yella Pils,Oskar Blues Grill & Brew Mama's Little Yella Pils,"0,05"
PILS (Czech Style Pilsner),Lagunitas Brewing Company Lagunitas PILS (Czech Style Pilsner),"0,06"
Staropramen Lager,Pivovary Staropramen Staropramen Lager,"0,05"
The Wright Pils,Great Lakes Brewing Company Great Lakes The Wright Pils,"0,05"
Nomad,Great Divide Brewing Company Nomad,"0,05"
Golden Pheasant,Pivovar Zlaty Bazant a.s. Golden Pheasant,"0,05"
Torch Pilsner,Foothills Brewing Company Torch Pilsner,"0,05"
Steam Whistle Pilsner,Steam Whistle Brewing Steam Whistle Pilsner,"0,05"
Krušovice Imperial,Královský Pivovar Krušovice a.s. Krušovice Imperial,"0,05"
Czech Style Pilsner,Gordon Biersch Brewery Restaurant Gordon Biersch Czech Style Pilsner,"0,06"
Summer Of Lager,Cisco Brewers Inc. Summer Of Lager,"0,06"
Pilz,Live Oak Brewing Company Live Oak Pilz,"0,05"
Reality Czeck,Moonlight Brewing Company Reality Czeck,"0,05"
Shiner 101 Czech Style Pilsner,Spoetzl Brewery Shiner 101 Czech Style Pilsner,"0,05"
Joseph's Brau Bohemian Lager,Trader Joe's Brewing Company Trader Joe's Bohemian Lager,"0,05"
Josephs Brau PLZNR Czech-Style Lager,Trader Joe's Brewing Company Josephs Brau PLZNR Czech-Style Lager,"0,05"
Session Pils,Notch Brewing Notch Session Pils,"0,04"
Saranac Bohemian Pilsener,Matt Brewing Company Saranac Bohemian Pilsener,"0,05"
Pontius Road Pilsner,Short's Brewing Company Short's Pontius Road Pilsner,"0,05"
Long Day Lager,Red Hare Brewing Company Long Day Lager,"0,05"
Montejo,Grupo Modelo S.A. de C.V. Montejo,"0,05"
Žatec,Žatecký Pivovar Žatec,"0,05"
Sound Czech,Terrapin Beer Company Terrapin Sound Czech,"0,06"
Creemore Springs Traditional Pilsner,Creemore Springs Brewery Limited Creemore Springs Traditional Pilsner,"0,05"
Kozel,Pivovar Velké Popovice a.s. Kozel,"0,05"
HUB Lager,Hopworks Urban Brewery HUB Lager,"0,05"
Czech Pilsner,Moat Mountain Smoke House & Brewing Co. Moat Czech Pilsner,"0,05"
Kelso Pilsner,Greenpoint Beerworks / Kelso of Brooklyn Kelso Pilsner,"0,06"
Pils,Heater Allen Brewing Pils,"0,05"
Prima Pils,Victory Brewing Company Prima Pils,"0,05"
Samuel Adams Noble PilsBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Noble Pils,"0,05"
Beck's,Brauerei Beck & Co. Beck's,"0,05"
Scrimshaw Pilsner,North Coast Brewing Co. Scrimshaw Pilsner,"0,05"
Premium Pils (Premium Beer),Bitburger Brauerei Bitburger Premium Pils,"0,05"
The Crisp,Sixpoint Brewery Sehr Crisp Pilsner,"0,05"
Sunshine Pils,Tröegs Brewing Company Tröegs Sunshine Pils,"0,05"
Bohemia Clásica,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V. Bohemia Clásica","0,05"
Radeberger Pilsner,Radeberger Exportbierbrauerei Radeberger Pilsner,"0,05"
Pilsner,Brooklyn Brewery Brooklyn Pilsner,"0,05"
Saranac Adirondack Lager,Matt Brewing Company Saranac Adirondack Lager,"0,06"
Jever Pilsener,Friesisches Brauhaus zu Jever GmbH & Co KG Jever Pilsener,"0,05"
König Pilsener,König-Brauerei GmbH König Pilsener,"0,05"
Pikeland Pils,Sly Fox Brewing Company Pikeland Pils,"0,05"
Pils (Pilsner),Bayerische Staatsbrauerei Weihenstephan Weihenstephaner Pilsner,"0,05"
Pils,Stoudts Brewing Co. Stoudts Pils,"0,05"
Trumer Pils,Trumer Brauerei Berkeley Trumer Pils,"0,05"
Krombacher Pils,Krombacher Brauerei Krombacher Pils,"0,05"
Stiegl Pils,Stieglbrauerei zu Salzburg GmbH Stiegl Pils,"0,05"
Rothaus Pils Tannen Zäpfle,Badische Staatsbrauerei Rothaus AG Rothaus Pils Tannen Zäpfle,"0,05"
SOS (Save Our Shore),Abita Brewing Co. SOS (Save Our Shore),"0,07"
Summer Pils,Saint Arnold Brewing Company Saint Arnold Summer Pils,"0,05"
Wernesgruner,Wernesgrüner Brauerei AG Wernesgruner,"0,05"
Pilsener,Brauerei C. & A. Veltins GmbH & Co. Veltins Pilsner,"0,05"
Organic Ur Pils,Brauerei Pinkus Mueller Organic Ur Pils,"0,05"
Hans' Pils,Real Ale Brewing Company Hans' Pils,"0,05"
Premium Pils,Paulaner Brauerei GmbH & Co. KG Paulaner Premium Pils,"0,05"
Elm City Lager,New England Brewing Co. Elm City Lager,"0,05"
EKU Pils,Kulmbacher Brauerei AG EKU Pils,"0,05"
Flensburger Pilsener,Flensburger Brauerei GmbH Und Co. KG Flensburger Pilsener,"0,05"
Dinkelacker CD-Pils,Dinkelacker-Schwabenbraeu AG Dinkel Acker Cd-Pils,"0,05"
Pearl-Snap,Austin Beerworks Pearl Snap Pils,"0,05"
Simpler Times Pilsner,Minhas Craft Brewery Simpler Times Pilsner,"0,06"
Hometown Blonde,New Glarus Brewing Company Home Town Blonde,"0,05"
Almaza Pilsner Beer,Brasserie Almaza S.A.L. Almaza Pilsner Beer,"0,04"
Braumeister Pils,Victory Brewing Company Braumeister Pils,"0,06"
Wolters Pilsener,Hofbrauhaus Wolters GmbH Wolters Pilsener Premium,"0,05"
Kulmbacher Edelherb Premium Pils,Kulmbacher Brauerei AG Kulmbacher Edelherb Premium Pils,"0,05"
My Antonia,Dogfish Head Brewery My Antonia,"0,08"
Krampus,Southern Tier Brewing Company Krampus (Imperial Helles Lager),"0,09"
Samuel Adams Hallertau Imperial PilsnerBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Hallertau Imperial Pilsner,"0,08"
Morimoto Imperial Pilsner,Rogue Ales Morimoto Imperial Pilsner,"0,09"
Imperial Spruce India Pilsner,Short's Brewing Company Imperial Spruce India Pilsner,"0,07"
Evil Power,Three Floyds Brewing Co. & Brewpub Evil Power,"0,07"
Tilted Smile Imperial Pilsner,Uinta Brewing Company Tilted Smile Imperial Pilsner,"0,09"
Draft Bear,Mikkeller ApS Draft Bear,"0,08"
Regal Pilsner,Breckenridge Brewery Regal Pilsner,"0,07"
The Curl,Short's Brewing Company Short's The Curl,"0,07"
Hitachino Nest Ancient Nipponia,Kiuchi Brewery Hitachino Nipponia,"0,07"
Orange Blossom Pilsner² (Squared),Thomas Creek Brewery OBP Squared (Orange Blossom Pilsner Squared),"0,11"
Pecker Wrecker,Rahr & Sons Brewing Company Pecker Wrecker,"0,07"
überPils,Blue Mountain Brewery überPils,"0,08"
Summer Pilsner Fusion,Element Brewing Company Summer Pilsner Fusion,"0,09"
Whistler Imperial Pils,Karl Strauss Brewing Company Whistler Imperial Pils,"0,08"
Uber Ursa Pils,Atwater Block Brewery Uber Ursa Pils,"0,07"
Elsa Von Horizon,New Albanian Brewing Company - Pizzeria and Public House Elsa Von Horizon,"0,10"
Epic Larger,Epic Brewing Company Epic Lager,"0,09"
Edmund Fitzgerald,Great Lakes Brewing Company Coffee Infused Edmund Fitzgerald Porter,"0,06"
Black Butte Porter,Deschutes Brewery Black Butte Porter,"0,05"
Vanilla Porter,Breckenridge Brewery Vanilla Porter,"0,05"
Anchor Porter,Anchor Brewing Company Anchor Porter,"0,06"
Porter,Sierra Nevada Brewing Co. Sierra Nevada Porter,"0,06"
Mocha Porter,Rogue Ales Mocha Porter,"0,06"
Everett Porter,Hill Farmstead Brewery Everett Robust Porter,"0,08"
Samuel Adams Holiday PorterBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Holiday Porter,"0,06"
Coconut Hiwa Porter,Maui Brewing Co. CoCoNut Porter,"0,06"
Alpha Klaus Christmas (Xmas) Porter,Three Floyds Brewing Co. & Brewpub Alpha Klaus Christmas (Xmas) Porter,"0,06"
Pipeline Porter,Kona Brewing Co. Pipeline Porter,"0,05"
Vanilla Java Porter (VJP),Atwater Block Brewery Atwater Vanilla Java Porter,"0,05"
Oatmeal Porter,Highland Brewing Highland Oatmeal Porter,"0,06"
Cutthroat,Odell Brewing Company Odell Cutthroat Pale Ale,"0,05"
Mississippi Mud Black & Tan,Mississippi Brewing Co. Mississippi Mud Black & Tan,"0,05"
Dead Reckoning Porter,Tröegs Brewing Company Tröegs Dead Reckoning Porter,"0,06"
Twilight Of The Idols,Hill Farmstead Brewery Twilight Of The Idols,"0,08"
Coffeehouse Porter,Berkshire Brewing Company Inc. Coffeehouse Porter,"0,06"
Black Marlin,Ballast Point Brewing Company Black Marlin Porter,"0,06"
Road Dog,Flying Dog Brewery Road Dog Porter,"0,06"
New World Porter,Avery Brewing Company New World Porter,"0,07"
Porter,Southern Tier Brewing Company Porter,"0,06"
Old Leghumper,Thirsty Dog Brewing Company Old Leghumper,"0,06"
Mudpuppy,Central Waters Brewing Company Mudpuppy Porter,"0,06"
Saranac Caramel Porter,Matt Brewing Company Saranac Caramel Porter,"0,05"
(512) Pecan Porter(512) Brewing Company,(512) Brewing Company (512) Pecan Porter,"0,06"
Saranac Black & Tan,Matt Brewing Company Saranac Black & Tan,"0,05"
TREAT (Imperial Chocolate Pumpkin Porter),Midnight Sun Brewing Co. TREAT (Imperial Chocolate Pumpkin Porter),"0,08"
Great Northern,Summit Brewing Company Summit Great Northern Porter,"0,06"
Porter,The Duck-Rabbit Craft Brewery Duck-Rabbit Porter,"0,06"
Wasatch Polygamy Porter,Utah Brewers Cooperative Wasatch Polygamy Porter,"0,04"
Coffee Porter,Real Ale Brewing Company Shade Grown Coffee Porter,"0,07"
Thunderstruck Coffee Porter,Highland Brewing Highland Thunderstruck Coffee Porter,"0,06"
Penn Quarter Porter,DC Brau Brewing Co. Penn Quarter Porter,"0,06"
Porter,Port City Brewing Porter,"0,08"
Coco Loco,NoDa Brewing Company Coco Loco,"0,06"
Smuttynose Baltic Porter,Smuttynose Brewing Company Smuttynose Baltic Porter (Big Beer Series),"0,09"
Shipwreck Porter - Bourbon Barrel-Aged,Arcadia Brewing Company Arcadia Shipwreck Porter,"0,12"
Baltika #6 Porter,Baltika Breweries Baltika #6 Porter,"0,07"
Baltic Porter,The Duck-Rabbit Craft Brewery Duck-Rabbit Baltic Porter,"0,09"
Smoke,Surly Brewing Company Smoke,"0,08"
Sinebrychoff Porter,Oy Sinebrychoff Ab Sinebrychoff Porter,"0,07"
Black Boss Porter,BOSS Browar Witnica S.A. Black Boss Porter,"0,09"
"Carnegie Porter 5,5%","Carlsberg Sverige AB Carnegie Porter 5,5%","0,06"
Topless Wytch,Three Floyds Brewing Co. & Brewpub Topless Wytch,"0,09"
Grande Cuvée Porter Baltique,Les Trois Mousquetaires Les Trois Mousquetaires Porter Baltique,"0,10"
Porter,Nøgne Ø - Det Kompromissløse Bryggeri A/S Porter,"0,07"
Smoked Baltic Porter,Great Divide Brewing Company Smoked Baltic Porter,"0,08"
Southampton Imperial Baltic Porter,Southampton Publick House Southampton Imperial Baltic Porter,"0,07"
Double Brown Stout,Deep Ellum Brewing Company Double Brown Stout,"0,07"
Baltic Porter,Foothills Brewing Company Foothills Baltic Porter,"0,09"
Tsarina Esra,Brouwerij De Molen Tsarina Esra Reserva,"0,11"
Porter,Utenos Alus Porter,"0,07"
Porteris,Aldaris Porteris,"0,07"
Danzig Baltic Porter,Devils Backbone Brewing Company Danzig Baltic Porter,"0,08"
Mørke - Pumpernickel Porter,Beer Here Mørke - Pumpernickel Porter,"0,08"
Akevitt,HaandBryggeriet Akevitt Porter (Barrel-Aged Porter),"0,07"
Bourbon Barrel Aged Shaman's Porter,Atwater Block Brewery Atwater Bourbon Barrel Aged Shaman's Porter,"0,07"
Baltic Porter,Uncommon Brewers Baltic Porter,"0,08"
Grand Imperial Porter,Browar Amber Grand Imperial Porter,"0,07"
Kurofune Porter,Baird Brewing Company / Fishmarket Taproom Kurofune Porter,"0,06"
Fear And Trembling (Cabernet/Bourbon Blend),Hill Farmstead Brewery Fear And Trembling (Cabernet/Bourbon Blend),"0,09"
Alice Porter,BrewDog Alice Porter,"0,05"
Hoogstraten Poorter,Brouwerij Sterkens N.V. Hoogstraten Poorter,"0,07"
Limfjordsporter,Thisted Bryghus Limfjordsporter,"0,08"
Fuller's London Porter,Fuller Smith & Turner PLC Fuller's London Porter,"0,05"
Old Engine Oil Black Ale,Harviestoun Brewery Ltd. Old Engine Oil,"0,06"
Bully! Porter,Boulevard Brewing Co. Bully! Porter,"0,06"
Samuel Adams Honey PorterBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Honey Porter,"0,05"
People's Porter,Foothills Brewing Company People's Porter,"0,06"
Washington's Porter,Yards Brewing Co. General Washington's Tavern Porter,"0,07"
Porter,Mayflower Brewing Company Mayflower Porter,"0,05"
Old-Style Porter,St. Peter's Brewery Co Ltd St. Peter's Old-Style Porter,"0,05"
Coffee Porter,Meantime Brewing Company Limited Coffee Porter,"0,06"
Zwet.Be,Brouwerij Drie Fonteinen Zwet.Be,"0,07"
Santa's Butt,Ridgeway Brewing Santa's Butt,"0,06"
London Porter,Meantime Brewing Company Limited London Porter,"0,07"
Boxcarr Pumpkin Porter,Starr Hill Brewery Box Car Pumpkin Porter,"0,05"
Porter,Green Man Brewery Green Man Porter,"0,06"
Sly Rye Porter,Yazoo Brewing Company Sly Rye Porter,"0,06"
Publican Porter (Imperial London Porter),Short's Brewing Company Short's Publican Porter (Imperial London Porter),"0,09"
Geary's London Porter,D.L. Geary Brewing Company Geary's London Style Porter,"0,04"
Original Flag Porter,Darwin Brewery Ltd. Original Flag Porter,"0,05"
Black Duck Porter,Greenport Harbor Brewing Company Black Duck Porter,"0,05"
Kennebunkport Porter,Federal Jack's Restaurant & Brew Pub Kennebunkport Porter,"0,06"
Contorter,Ale Asylum Contorter,"0,05"
Entire Butt English Porter,Salopian Brewing Company Ltd Entire Butt English Porter,"0,05"
Porter,"St. George Brewing Company, The Porter","0,05"
Benchwarmer Porter,Cooperstown Brewing Company Benchwarmer Porter,"0,06"
Black Wych,Wychwood Brewery Company Ltd Black Wych,"0,05"
Vanilla Porter,Mill Street Brew Pub Mill Street Vanilla Porter,"0,05"
Old Growler,Nethergate Brewery Co. Ltd. Old Growler,"0,06"
Longfellow,Shipyard Brewing Co. Longfellow Winter Ale,"0,06"
Rickard's Dark,Molson Coors Canada Rickard's Dark,"0,05"
Shoo-Fly Pie Porter,Lancaster Brewing Company Porter,"0,06"
Duke Of Winship,"Middle Ages Brewing Co., Ltd. Duke Of Winship","0,07"
Midnight Sun,Williams Brothers Brewing Company Midnight Sun,"0,06"
Longboat Chocolate Porter,Phillips Brewing Company Longboat Double Chocolate Porter,"0,05"
Busted Knuckle Ale,Big Woods Brewing Co. Busted Knuckle Red Ale,"0,07"
Old Slug Porter,RCH Brewery Old Slug Porter,"0,05"
Pigs Ass Porter,Harvest Moon Brewery Pigs Ass Porter,"0,06"
Anvil Porter,French Broad Brewing Co. Anvil Porter,"0,06"
Victory At Sea - Coffee And Vanilla,Ballast Point Brewing Company Victory At Sea Coffee Vanilla Imperial Porter,"0,10"
Gonzo,Flying Dog Brewery Gonzo Imperial Porter,"0,10"
Birth Of Tragedy,Hill Farmstead Brewery Birth Of Tragedy,"0,09"
Gonzo - Barrel-Aged,Flying Dog Brewery Barrel-Aged Gonzo Imperial Porter,"0,11"
Mogli,Caldera Brewing Company Mogli,"0,09"
The Devil Made Me Do It!,Tyranena Brewing Company The Devil Made Me Do It! Coffee Imperial Oatmeal Porter,"0,08"
Dirty Old Man Imperial Rye Porter,Tyranena Brewing Company Dirty Old Man Imperial Rye Porter,"0,08"
Alberta Clipper,Great Lakes Brewing Company Great Lakes Alberta Clipper,"0,08"
Devil Over A Barrel Bourbon Barrel-Aged Imperial Coffee Oatmeal Porter,Tyranena Brewing Company Devil Over A Barrel - Bourbon Barrel-Aged Coffee Imperial Oatmeal Porter,"0,08"
Yin & Yang,Evil Twin Brewing Evil Twin Yang,"0,10"
(512) Whiskey Barrel Aged Double Pecan Porter(512) Brewing Company,(512) Brewing Company (512) Whiskey Barrel Aged Double Pecan Porter,"0,08"
Red Eye Coffee Porter,Two Brothers Brewing Company Red Eye Coffee Porter,"0,09"
Everett (Barrel Aged),Hill Farmstead Brewery Everett (Barrel Aged),"0,08"
Victory At Sea - Barrel-Aged,Ballast Point Brewing Company Victory At Sea (Barrel Aged) Imperial Porter,"0,12"
Black Cherry Porter,Short's Brewing Company Bourbon Black Cherry Porter,"0,09"
Southampton Imperial Porter,Southampton Publick House Southampton Imperial Porter,"0,07"
Anubis,Laughing Dog Brewing Anubis Imperial Coffee Porter,"0,09"
Pugsley's Signature Series: Imperial Porter,Shipyard Brewing Co. Shipyard Imperial Porter (Pugsley's Signature Series),"0,07"
Pecan Pie Porter,Clown Shoes Pecan Pie Porter,"0,08"
Black Ball Porter,To Øl Black Ball Porter,"0,08"
Porter,Founders Brewing Company Founders Porter,"0,07"
Robust Porter,Smuttynose Brewing Company Smuttynose Robust Porter,"0,06"
Icelandic Toasted PorterEinstök Ölgerð (Einstök Beer Company),Einstök Ölgerð Icelandic Toasted Porter,"0,06"
People's Porter - Barrel-Aged,Foothills Brewing Company Barrel Aged Peoples' Porter,"0,06"
Thirsty Trout Porter,Dark Horse Brewing Company Dark Horse Thirsty Trout Porter,"0,07"
Chief BlackHawk Porter,Tyranena Brewing Company Chief BlackHawk Porter,"0,06"
Payback Porter,Speakeasy Ales & Lagers Payback Porter,"0,08"
Bobo's Robust Porter,Big Sky Brewing Company Bobo's Robust Porter,"0,06"
Black Robusto Porter,Drake's Brewing Co. Drake's Black Robusto Porter,"0,06"
Pile O' Dirt Porter,Crow Peak Brewing Pile O' Dirt Porter,"0,06"
Penetration Porter,Kuhnhenn Brewing Company Kuhnhenn Penetration Porter,"0,06"
Gran Sport Porter,Coop Ale Works Gran-Sport Porter,"0,05"
Black Earth PorterGreat Dane Pub & Brewing Company (Downtown),Great Dane Pub & Brewing Company (Downtown) Black Earth Porter,"0,08"
Black Cat Porter,Zero Gravity Craft Brewery / American Flatbread Black Cat Porter,"0,05"
Robust Porter,Bridge Road Brewers Robust Porter,"0,05"
Robust Porter,Emmett's Brewing Company Robust Porter,"0,06"
Smoked Porter,Stone Brewing Co. Stone Smoked Porter,"0,06"
Smoked Porter,Alaskan Brewing Co. Alaskan Smoked Porter,"0,07"
Smoked Porter,O'Fallon Brewery Smoke (Smoked Porter),"0,06"
London Porter,Arcadia Brewing Company Arcadia London Porter,"0,07"
Benji's Chipotle Smoked Imperial Porter,Tyranena Brewing Company Benji's Chipotle Smoked Imperial Porter,"0,08"
Pleasantville Smoked Porter,Captain Lawrence Brewing Co. Pleasantville Smoked Porter,"0,06"
Mesquite Smoked Porter - MSP,Ranger Creek Brewing & Distilling Mesquite Smoked Porter - MSP,"0,06"
Viven Porter / Viven Smoked Porter,Brouwerij Van Viven Viven Porter,"0,07"
Leaning Chimney Porter,Grey Sail Brewing of Rhode Island Leaning Chimney Porter,"0,06"
The Big Smoke,8 Wired Brewing Co. The Big Smoke,"0,06"
Smokestack,East End Brewing Company Smokestack Heritage Porter,"0,07"
Smoke Signal,Swamp Head Brewery & Tasting Room Smoke Signal,"0,07"
Double Porter Smoked,Rock Art Brewery Double Porter Smoked,"0,08"
Up In Smoke Smoked Porter,Fat Heads Brewery & Saloon Up In Smoke Smoked Porter,"0,06"
Smoked Porter,Choc Beer Co. / Pete's Place Smoked Porter,"0,07"
Campfire Smoked Porter,Throwback Brewery Throwback Campfire Smoked Porter,"0,06"
Smokebrush Porter,Bristol Brewing Company Smokebrush Porter,"0,06"
Vermont Smoked Porter,The Vermont Pub & Brewery Vermont Smoked Porter,"0,06"
Big Black Smoke,Great Lakes Brewing Company Great Lakes Big Black Smoke,"0,06"
Smoked Porter,Spring House Brewing Company Smoked Porter,"0,09"
Smoked Porter,Feral Brewing Co. Smoked Porter,"0,05"
Smoke House Porter,Moat Mountain Smoke House & Brewing Co. Moat Smoke House Porter,"0,05"
Smoked Porter,"Middle Ages Brewing Co., Ltd. Smoked Porter","0,05"
"Porter, Smoked","COAST Brewing Company Porter, Smoked","0,06"
Smoked Porter,Captain Lawrence Brewing Co. Imperial Smoked Porter,"0,06"
Smoked Porter,Davidson Brothers Restaurant & Brewery Smoked Porter,"0,05"
Pumking,Southern Tier Brewing Company Pumking,"0,09"
Punkin Ale,Dogfish Head Brewery Punkin Ale,"0,07"
Pumpkinhead Ale,Shipyard Brewing Co. Pumpkinhead Ale,"0,05"
Imperial Pumpkin Ale,Weyerbacher Brewing Co. Imperial Pumpkin Ale,"0,08"
Samuel Adams Harvest Pumpkin AleBoston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Samuel Adams Harvest Pumpkin Ale,"0,06"
Post Road Pumpkin Ale,Brooklyn Brewery Post Road Pumpkin Ale,"0,05"
Pumpkin Ale,Smuttynose Brewing Company Smuttynose Pumpkin Ale,"0,06"
Pugsley's Signature Series: Smashed Pumpkin,Shipyard Brewing Co. Shipyard Smashed Pumpkin (Pugsley's Signature Series),"0,09"
Ichabod Ale,New Holland Brewing Company New Holland Ichabod Ale,"0,05"
Rumpkin,Avery Brewing Company Rumpkin,"0,16"
Good Gourd Imperial Pumpkin Ale,Cigar City Brewing Good Gourd Imperial Pumpkin Ale,"0,09"
Night Owl Pumpkin Ale,Elysian Brewing Company Night Owl Pumpkin Ale,"0,07"
Buffalo Bill's Pumpkin Ale,Buffalo Bill's Brewery Buffalo Bill's Pumpkin Ale,"0,06"
Saranac Pumpkin Ale,Matt Brewing Company Saranac Pumpkin Ale,"0,05"
UFO Pumpkin,Harpoon Brewery UFO Pumpkin,"0,06"
Pumpkinator,Saint Arnold Brewing Company Pumpkinator,"0,10"
La Parcela,Jolly Pumpkin Artisan Ales La Parcela,"0,06"
The Great’ER Pumpkin,Heavy Seas Beer Heavy Seas - The Great Pumpkin,"0,10"
The Great Pumpkin,Elysian Brewing Company The Great Pumpkin,"0,08"
Frog's Hollow Double Pumpkin Ale,Hoppin' Frog Brewery Frog's Hollow Double Pumpkin Ale,"0,08"
Dark O' The Moon,Elysian Brewing Company Dark O' The Moon,"0,08"
Pumple Drumkin Spiced Ale,Cisco Brewers Inc. Pumple Drumkin Spiced Ale,"0,06"
The Fear,Flying Dog Brewery The Fear,"0,09"
Pumpkin Beer,O'Fallon Brewery Pumpkin Ale,"0,06"
Southampton Pumpkin Ale,Southampton Publick House Southampton Pumpkin Ale,"0,06"
